timestamp,event_type,strategy_name,candle_open_time,candle_close_time,candle_open,candle_high,candle_low,candle_close,candle_mid_price,reference_price,order_id,trade_type,created_price,created_size,position_id,entry_price,close_price,closing_reason,pnl_quote,pnl_percent
1710117720,CLOSE,main,,,,,,,,,buy_1,SELL,,,588taq1oteizk9dk6YiQg9JABJ4zRJ2LbhEv8BPSk8bs,,68218.10000000,CloseType.EARLY_STOP,0,0
1710117360,CREATE,main,,,68539.00000000,68545.40000000,68470.00000000,68472.10000000,68507.70000000,68472.10000000,sell_0,SELL,,,,,,,,
1710117720,CLOSE,main,,,,,,,,,sell_0,SELL,,,3MFwr75KDq5eyyZRuDr91nB13Dhphdfyv9DiiMrDvHfc,,68218.10000000,CloseType.EARLY_STOP,0,0
1710117360,CREATE,main,,,68539.00000000,68545.40000000,68470.00000000,68472.10000000,68507.70000000,68472.10000000,sell_1,SELL,,,,,,,,
1710117720,CLOSE,main,,,,,,,,,sell_1,SELL,,,F1vzjTothZ4qGWwhLMNfj54YBBt61qHngPSPUAyyg8nK,,68218.10000000,CloseType.EARLY_STOP,0,0
1710117900,CREATE,main,,,68218.10000000,68400.00000000,68207.00000000,68318.30000000,68303.50000000,68318.30000000,buy_0,SELL,,,,,,,,
1710118260,CLOSE,main,,,,,,,,,buy_0,SELL,,,EU76DwXyZNiziS6SzhbC5HbWVfYoBsegWMkJBQ7rzmXp,,67735.60000000,CloseType.EARLY_STOP,0,0
1710117900,CREATE,main,,,68218.10000000,68400.00000000,68207.00000000,68318.30000000,68303.50000000,68318.30000000,buy_1,SELL,,,,,,,,
1710118260,CLOSE,main,,,,,,,,,buy_1,SELL,,,CJv9CoAx2nPkkoqMiDJ43fvf4oAQ3BGhSgoKjfErZBbV,,67735.60000000,CloseType.EARLY_STOP,0,0
1710117900,CREATE,main,,,68218.10000000,68400.00000000,68207.00000000,68318.30000000,68303.50000000,68318.30000000,sell_0,SELL,,,,,,,,
1710118260,CLOSE,main,,,,,,,,,sell_0,SELL,,,68VvCRi9qNB9tpG1P4w9v24J2Fumhxggv5WAM6xGkejG,,67735.60000000,CloseType.EARLY_STOP,0,0
1710117900,CREATE,main,,,68218.10000000,68400.00000000,68207.00000000,68318.30000000,68303.50000000,68318.30000000,sell_1,SELL,,,,,,,,
1710118260,CLOSE,main,,,,,,,,,sell_1,SELL,,,6LieYas27Lp9Uhh31DmRWiRLEdEjXgwrhG83Pz6jgqhL,,67735.60000000,CloseType.EARLY_STOP,0,0
1710118440,CREATE,main,,,67735.70000000,68030.50000000,67659.80000000,67880.10000000,67845.15000000,67880.10000000,buy_0,SELL,,,,,,,,
1710118800,CLOSE,main,,,,,,,,,buy_0,SELL,,,9edRyeV6t4ormMqZzDgP9c8yMNMg8TYAiWs4UyPewL9b,,67860.00000000,CloseType.EARLY_STOP,0,0
1710118440,CREATE,main,,,67735.70000000,68030.50000000,67659.80000000,67880.10000000,67845.15000000,67880.10000000,buy_1,SELL,,,,,,,,
1710118800,CLOSE,main,,,,,,,,,buy_1,SELL,,,CxHhJDWMHwo6RTCYE2MUXaL2bYv5uFtAnbHnx21iQ6i7,,67860.00000000,CloseType.EARLY_STOP,0,0
1710118440,CREATE,main,,,67735.70000000,68030.50000000,67659.80000000,67880.10000000,67845.15000000,67880.10000000,sell_0,SELL,,,,,,,,
1710118800,CLOSE,main,,,,,,,,,sell_0,SELL,,,8HzpNv7CdikgiTZXp4TGSuf5NLWegAVftWMuHtL1geyW,,67860.00000000,CloseType.EARLY_STOP,0,0
1710118440,CREATE,main,,,67735.70000000,68030.50000000,67659.80000000,67880.10000000,67845.15000000,67880.10000000,sell_1,SELL,,,,,,,,
1710118800,CLOSE,main,,,,,,,,,sell_1,SELL,,,8X8ysz93sTZKGrW6vuJbKtTkAcrUSy4Qreiq72ewameH,,67860.00000000,CloseType.EARLY_STOP,0,0
1710118980,CREATE,main,,,67901.90000000,67991.30000000,67757.10000000,67913.90000000,67874.20000000,67913.90000000,buy_0,SELL,,,,,,,,
1710119340,CLOSE,main,,,,,,,,,buy_0,SELL,,,BFuy9BkSHpHPHwggav5x1C8bxcco7zSPyP9xTnDXMQ4N,,68292.00000000,CloseType.EARLY_STOP,0,0
1710118980,CREATE,main,,,67901.90000000,67991.30000000,67757.10000000,67913.90000000,67874.20000000,67913.90000000,buy_1,SELL,,,,,,,,
1710119340,CLOSE,main,,,,,,,,,buy_1,SELL,,,BYjTnkQGgrpn9G6e5iyeouTJaAS4E2dSHArqgqi2x5h5,,68292.00000000,CloseType.EARLY_STOP,0,0
1710118980,CREATE,main,,,67901.90000000,67991.30000000,67757.10000000,67913.90000000,67874.20000000,67913.90000000,sell_0,SELL,,,,,,,,
1710119340,CLOSE,main,,,,,,,,,sell_0,SELL,,,GaibLPzof7nmeJY93KTQw8PB3xLNd4QzcuWpD3G9P1du,,68292.00000000,CloseType.EARLY_STOP,0,0
1710118980,CREATE,main,,,67901.90000000,67991.30000000,67757.10000000,67913.90000000,67874.20000000,67913.90000000,sell_1,SELL,,,,,,,,
1710119340,CLOSE,main,,,,,,,,,sell_1,SELL,,,5sBv5cQSwaxW1Lg2wCEhja2CQKZKCra8PsopoGGU4nnE,,68292.00000000,CloseType.EARLY_STOP,0,0
1710119520,CREATE,main,,,68292.00000000,68312.90000000,68148.00000000,68180.10000000,68230.45000000,68180.10000000,buy_0,SELL,,,,,,,,
1710119880,CLOSE,main,,,,,,,,,buy_0,SELL,,,FqoxorKY7bg9DrYcGunjWVDqfF5TU2uqKaJaQXLe5yY1,,68247.40000000,CloseType.EARLY_STOP,0,0
1710119520,CREATE,main,,,68292.00000000,68312.90000000,68148.00000000,68180.10000000,68230.45000000,68180.10000000,buy_1,SELL,,,,,,,,
1710119880,CLOSE,main,,,,,,,,,buy_1,SELL,,,8pejGhEHyi7ULsndvYc3XFbPaKNJQqdHCcGPs8Cm5vqU,,68247.40000000,CloseType.EARLY_STOP,0,0
1710119520,CREATE,main,,,68292.00000000,68312.90000000,68148.00000000,68180.10000000,68230.45000000,68180.10000000,sell_0,SELL,,,,,,,,
1710119880,CLOSE,main,,,,,,,,,sell_0,SELL,,,2xHmVfwxLmwBzZ6C2gAQq3MTQgW53ZvG62WRRmJHvjUr,,68247.40000000,CloseType.EARLY_STOP,0,0
1710119520,CREATE,main,,,68292.00000000,68312.90000000,68148.00000000,68180.10000000,68230.45000000,68180.10000000,sell_1,SELL,,,,,,,,
1710119880,CLOSE,main,,,,,,,,,sell_1,SELL,,,4wRnVbEyVhEQvFfVpqdB4EMo2Z3pD25W8ubtjAhX5su1,,68247.40000000,CloseType.EARLY_STOP,0,0
1710120060,CREATE,main,,,68260.20000000,68353.90000000,68101.80000000,68121.50000000,68227.85000000,68121.50000000,buy_0,SELL,,,,,,,,
1710120420,CLOSE,main,,,,,,,,,buy_0,SELL,,,A44FLcMEZR56aFGZA4rYLCTWe8ruNvksiDJxtj3sNzfU,,67991.10000000,CloseType.EARLY_STOP,0,0
1710120060,CREATE,main,,,68260.20000000,68353.90000000,68101.80000000,68121.50000000,68227.85000000,68121.50000000,buy_1,SELL,,,,,,,,
1710120420,CLOSE,main,,,,,,,,,buy_1,SELL,,,DMjXdu1jF7sctQAHB8UR1vVob1ksxr6DuUEo3cJ7LXN5,,67991.10000000,CloseType.EARLY_STOP,0,0
1710120060,CREATE,main,,,68260.20000000,68353.90000000,68101.80000000,68121.50000000,68227.85000000,68121.50000000,sell_0,SELL,,,,,,,,
1710120420,CLOSE,main,,,,,,,,,sell_0,SELL,,,4NKTDbJ9aRenXGbrGyVgbYbcMWnHbrCZb8ghx3h7VJpz,,67991.10000000,CloseType.EARLY_STOP,0,0
