timestamp,event_type,strategy_name,candle_open_time,candle_close_time,candle_open,candle_high,candle_low,candle_close,candle_mid_price,reference_price,order_id,trade_type,created_price,created_size,position_id,fill_price,amount_filled,entry_price,close_price,closing_reason,pnl_quote,pnl_percent
1707436800,CREATE,main,,,2419.70000000,2421.85000000,2419.69000000,2421.00000000,2420.77000000,2421.00000000,buy_0,SELL,2419.78950000,10,,,,,,,,
1707436800,FILL,main,,,,,,,,,buy_0,SELL,,,GqCmcRUwq5W9fzENR6c8UX5v3zsxth1gm9Zj5qHwXtS9,2419.78950000,48392.39999999999417923390865325927734375,,,,,
1707440400,CLOSE,main,,,,,,,,,buy_0,SELL,,,GqCmcRUwq5W9fzENR6c8UX5v3zsxth1gm9Zj5qHwXtS9,,,,2423.86000000,CloseType.TIME_LIMIT,39.98037999999203151446636184118688106536865234375,0.00165234127672907464730311932754602821660228073596954345703125
1707436800,CREATE,main,,,2419.70000000,2421.85000000,2419.69000000,2421.00000000,2420.77000000,2421.00000000,sell_0,SELL,2422.21050000,10,,,,,,,,
1707436800,FILL,main,,,,,,,,,sell_0,SELL,,,F5GeJgU6giamyXSc5VmpyxRd41tsEQitBspigBMoibEQ,2422.21050000,48465.2000000000043655745685100555419921875,,,,,
1707440400,CLOSE,main,,,,,,,,,sell_0,SELL,,,F5GeJgU6giamyXSc5VmpyxRd41tsEQitBspigBMoibEQ,,,,2423.86000000,CloseType.TIME_LIMIT,-8.42326000000513630538989673368632793426513671875,-0.0003476003400380122255845793954875944109517149627208709716796875
1707440400,CREATE,main,,,2423.85000000,2424.30000000,2423.85000000,2423.86000000,2424.07500000,2423.86000000,buy_0,SELL,2422.64807000,10,,,,,,,,
1707441120,CLOSE,main,,,,,,,,,buy_0,SELL,,,2K6NJbZjSm5KV9sREw4JkmWXwLTZ8r2qFFqenFKUrNny,,,,2424.61000000,CloseType.EARLY_STOP,0,0
1707440400,CREATE,main,,,2423.85000000,2424.30000000,2423.85000000,2423.86000000,2424.07500000,2423.86000000,sell_0,SELL,2425.07193000,10,,,,,,,,
1707440400,FILL,main,,,,,,,,,sell_0,SELL,,,Euhbx8GSYMxnrbG4yFWFCUZPQuyfYWyDhZ3aEGNzLvM3,2425.07193000,48517.7999999999956344254314899444580078125,,,,,
1707444000,CLOSE,main,,,,,,,,,sell_0,SELL,,,Euhbx8GSYMxnrbG4yFWFCUZPQuyfYWyDhZ3aEGNzLvM3,,,,2423.81000000,CloseType.TIME_LIMIT,18.3741100000043928730519837699830532073974609375,0.00075741727778276817135971743510935993981547653675079345703125
1707441300,CREATE,main,,,2424.61000000,2426.59000000,2424.61000000,2426.32000000,2425.60000000,2426.32000000,buy_0,SELL,2425.10684000,10,,,,,,,,
1707441300,FILL,main,,,,,,,,,buy_0,SELL,,,6GAkceq1fk8tyqLvvtBgVyzPXK3ENcUMymnxih2U5u9z,2425.10684000,48494.39999999999417923390865325927734375,,,,,
1707444900,CLOSE,main,,,,,,,,,buy_0,SELL,,,6GAkceq1fk8tyqLvvtBgVyzPXK3ENcUMymnxih2U5u9z,,,,2432.04000000,CloseType.TIME_LIMIT,70.7752800000036046412787982262670993804931640625,0.0029189052756608438281282769111157904262654483318328857421875
1707444900,CREATE,main,,,2431.82000000,2432.40000000,2431.11000000,2432.04000000,2431.75500000,2432.04000000,buy_0,SELL,2430.82398000,10,,,,,,,,
1707445620,CLOSE,main,,,,,,,,,buy_0,SELL,,,FbTRnXabbHEcBcdS43dRp2n2X7FjU8pm45U98h7gACfX,,,,2436.28000000,CloseType.EARLY_STOP,0,0
1707445800,CREATE,main,,,2436.29000000,2436.33000000,2432.80000000,2433.79000000,2434.56500000,2433.79000000,buy_0,SELL,2432.57310500,10,,,,,,,,
1707446520,CLOSE,main,,,,,,,,,buy_0,SELL,,,65j1Lq9sHZmsumfgXrW77Fv2TUgjD2SCHUiMPBfFg2U4,,,,2444.48000000,CloseType.EARLY_STOP,0,0
1707444000,CREATE,main,,,2425.14000000,2425.30000000,2423.80000000,2423.81000000,2424.55000000,2423.81000000,sell_0,SELL,2425.02190500,10,,,,,,,,
1707444000,FILL,main,,,,,,,,,sell_0,SELL,,,2RaGe1ZWVzyrGYyCRBbf22dp8doH5UV4GFasEfDJBnQa,2425.02190500,48509,,,,,
1707446700,CLOSE,main,,,,,,,,,sell_0,SELL,,,2RaGe1ZWVzyrGYyCRBbf22dp8doH5UV4GFasEfDJBnQa,,,,2452.62000000,CloseType.STOP_LOSS,-274.1254500000060261299950070679187774658203125,-0.0113020449813439165243078576850166427902877330780029296875
1707446700,CREATE,main,,,2444.48000000,2453.90000000,2444.48000000,2452.62000000,2449.19000000,2452.62000000,buy_0,SELL,2451.39369000,10,,,,,,,,
1707446700,FILL,main,,,,,,,,,buy_0,SELL,,,4ez6RGdWysThejuZ1iHWv3cZ6GwcabkUbXgr3SAtsrwm,2451.39369000,48990.60000000000582076609134674072265625,,,,,
1707450300,CLOSE,main,,,,,,,,,buy_0,SELL,,,4ez6RGdWysThejuZ1iHWv3cZ6GwcabkUbXgr3SAtsrwm,,,,2449.25000000,CloseType.TIME_LIMIT,-5.24953000000456970752793495194055140018463134765625,-0.0002143076426908251531748550444689271898823790252208709716796875
1707446880,CREATE,main,,,2452.40000000,2452.40000000,2447.40000000,2449.53000000,2449.90000000,2449.53000000,sell_0,SELL,2450.75476500,10,,,,,,,,
