timestamp,event_type,strategy_name,candle_open_time,candle_close_time,candle_open,candle_high,candle_low,candle_close,candle_mid_price,reference_price,order_id,trade_type,created_price,created_size,position_id,fill_price,amount_filled,entry_price,close_price,closing_reason,pnl_quote,pnl_percent
1710264960,CREATE,main,,,69757.30000000,70164.00000000,69689.90000000,70100.20000000,69926.95000000,70121.30579219,buy_0,SELL,70116.47718498,0.007130991459837606794257575658,,,,,,,,
1710264960,FILL,main,,,,,,,,,buy_0,SELL,,,6HG2VoXyEF81xNMLXPG8tLgW7jtvePMbghQYMGE4ZR97,70116.47718498,999.7678550658164340347866527736186981201171875,,,,,
1710266760,CLOSE,main,,,,,,,,,buy_0,SELL,,,6HG2VoXyEF81xNMLXPG8tLgW7jtvePMbghQYMGE4ZR97,,,,70929.10000000,CloseType.TIME_LIMIT,5.4109948935264444713766351924277842044830322265625,0.01082450264050593968789826249121688306331634521484375
1710264960,CREATE,main,,,69757.30000000,70164.00000000,69689.90000000,70100.20000000,69926.95000000,70121.30579219,sell_0,SELL,70126.13439940,0.007130009436315193625248501312,,,,,,,,
1710264960,FILL,main,,,,,,,,,sell_0,SELL,,,BC723bv3mhiAvv5698q5xkLbwy1UYqMuc821bGwSxqVY,70126.13439940,1000.7866625057350802308064885437488555908203125,,,,,
1710266760,CLOSE,main,,,,,,,,,sell_0,SELL,,,BC723bv3mhiAvv5698q5xkLbwy1UYqMuc821bGwSxqVY,,,,70929.10000000,CloseType.TIME_LIMIT,-5.832214387729418803019143524579703807830810546875,-0.01165526001940697664593926674569956958293914794921875
1710266760,CREATE,main,,,70932.90000000,71012.70000000,70781.00000000,70929.10000000,70896.85000000,70950.45535768,buy_0,SELL,70946.79116382,0.007047535086477381733859378575,,,,,,,,
1710266760,FILL,main,,,,,,,,,buy_0,SELL,,,EPkJtQWJ5wLh6u7JCyMxYbhXLBB6DiWDSEXHDzxZRs8R,70946.79116382,999.7506418045257987614604644477367401123046875,,,,,
1710268560,CLOSE,main,,,,,,,,,buy_0,SELL,,,EPkJtQWJ5wLh6u7JCyMxYbhXLBB6DiWDSEXHDzxZRs8R,,,,71085.20000000,CloseType.TIME_LIMIT,0.6002449060965979743542675350909121334552764892578125,0.001200789238830935780344422170173857011832296848297119140625
1710266760,CREATE,main,,,70932.90000000,71012.70000000,70781.00000000,70929.10000000,70896.85000000,70950.45535768,sell_0,SELL,70954.11955155,0.007046807192593598212169538453,,,,,,,,
1710266760,FILL,main,,,,,,,,,sell_0,SELL,,,65WZdWuz2Pas6KmUXP5DxLsNWxG7peoYNEnujHC3WtRj,70954.11955155,1000.376023952095465574529953300952911376953125,,,,,
1710268560,CLOSE,main,,,,,,,,,sell_0,SELL,,,65WZdWuz2Pas6KmUXP5DxLsNWxG7peoYNEnujHC3WtRj,,,,71085.20000000,CloseType.TIME_LIMIT,-1.23587468288269519689492881298065185546875,-0.002470820278159479264912246065932777128182351589202880859375
1710268560,CREATE,main,,,71136.10000000,71167.90000000,71016.10000000,71085.20000000,71092.00000000,71106.60235633,buy_0,SELL,71103.80944373,0.007031972040762649165865144259,,,,,,,,
1710268560,FILL,main,,,,,,,,,buy_0,SELL,,,7UsqBukAxRDeiAhYukaf3yNpPpLLAbxbmZDcEwGgacmN,71103.80944373,999.73827782404214303824119269847869873046875,,,,,
1710270360,CLOSE,main,,,,,,,,,buy_0,SELL,,,7UsqBukAxRDeiAhYukaf3yNpPpLLAbxbmZDcEwGgacmN,,,,71497.30000000,CloseType.TIME_LIMIT,2.398006539086250388237431252491660416126251220703125,0.004797268629756935333363632167902323999442160129547119140625
1710268560,CREATE,main,,,71136.10000000,71167.90000000,71016.10000000,71085.20000000,71092.00000000,71106.60235633,sell_0,SELL,71109.39526892,0.007031419661341236901304967903,,,,,,,,
1710268560,FILL,main,,,,,,,,,sell_0,SELL,,,Ac38HjnbDgj2CKqc9dQJxGRFijgEXr4kKEWtH7W48Yfw,71109.39526892,1000.4289831316988284015678800642490386962890625,,,,,
1710270360,CLOSE,main,,,,,,,,,sell_0,SELL,,,Ac38HjnbDgj2CKqc9dQJxGRFijgEXr4kKEWtH7W48Yfw,,,,71497.30000000,CloseType.TIME_LIMIT,-3.01324387852924413522259783348999917507171630859375,-0.006023903604025381518238813072230186662636697292327880859375
1710270360,CREATE,main,,,71431.90000000,71505.20000000,71380.20000000,71497.30000000,71442.70000000,71518.82643153,buy_0,SELL,71516.73586880,0.006991370536223528286201814707,,,,,,,,
1710270360,FILL,main,,,,,,,,,buy_0,SELL,,,3Tc6aiHvH6ncuPtv6C1Z8CUs7bMbEGCJL9vxjP8Dw1Xi,71516.73586880,999.7282332790690588808502070605754852294921875,,,,,
1710272160,CLOSE,main,,,,,,,,,buy_0,SELL,,,3Tc6aiHvH6ncuPtv6C1Z8CUs7bMbEGCJL9vxjP8Dw1Xi,,,,71467.80000000,CloseType.TIME_LIMIT,-0.70610954745817655631157094830996356904506683349609375,-0.001412602993399846539046560423003029427491128444671630859375
1710270360,CREATE,main,,,71431.90000000,71505.20000000,71380.20000000,71497.30000000,71442.70000000,71518.82643153,sell_0,SELL,71520.91699427,0.006990961819464067219017637124,,,,,,,,
1710270360,FILL,main,,,,,,,,,sell_0,SELL,,,6BqL1KhiEtvAS1JkcxwsvJo7bX1dftHfpdBvyVNpDBeJ,71520.91699427,1001.191022281451978415134362876415252685546875,,,,,
